,topic_0,topic_1,topic_2,topic_3
PI16,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
VEGFA,0.06306189565262965,0.005128628242417047,0.006514553239699438,0.006228823286350489
CCN6,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
AQP1,1.3102382013049972e-07,0.05714975960111593,0.011196247979873711,0.010054787812007407
SFRP4,1.3102382013049972e-07,0.011373063453433845,0.01784392129421369,0.055537854093016856
TMEM270,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
ELN,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
PEG10,0.07524711092476613,0.004784353297322966,0.0027158827743623062,0.004499487320753562
SERPINE1,0.0014807001912947775,0.025250905205674603,0.02107612335682511,0.03668350091057956
PODXL,0.013482482115248553,0.046963969846263436,0.0027492044451108777,0.005126945502961297
WEE2,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
PIP,0.07222046067975159,0.004083931857303971,0.0015662851335365956,0.013957271628177463
NEFL,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
KCNU1,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
ADAM2,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
CYP7A1,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
TRPA1,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
PMP2,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
RIMS2,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
DPYS,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
ENPP2,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
ANXA13,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
LY6D,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
MLANA,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
IFNA5,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
CCL19,1.3102382013049972e-07,0.012453374488039414,0.09085170190433349,1.5303858102627672e-07
CCL21,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
TPM2,0.0037736170435785222,0.0987476702083457,0.039769580646773633,0.1260733360880278
ALDOB,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
OR13C4,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
TNC,0.017976599145724692,0.027530242773194043,0.03413821829026508,0.01680378923526621
LCN2,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
FCN2,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
EGFL7,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
PTGDS,1.3102382013049972e-07,0.01206161334362201,0.09523350160777062,0.009258987190670767
PRTFDC1,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
GPR158,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
PDSS1,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
NRG3,1.3102382013049972e-07,1.1871549830830415e-07,1.6660835374285667e-07,1.5303858102627672e-07
